event_id,signal_date,code,board,model_score,model_rank,target7,raw_repair_return,capped_opportunity_return_7,residual_group,d1_high_to_close_drawdown_raw,d1_close_location,d1_intraday_range,d1_low_to_close_recovery,d1_open_to_close_return_raw,d1_last_hour_return,late_day_sell_volume_ratio,late_day_sell_amount_ratio,score_gap_to_rank3,candidate_count
603256_2026-06-17,2026-06-17,603256,2,0.593073862637,1,1,0.12002451982,0.07,TOP3_TRUE_POSITIVE,0.0557986870897,0.274193548387,0.0838004372888,0.0228350189633,0.011328125,-0.00204294029218,0.0493604884353,0.0485111655948,,17
605198_2026-06-17,2026-06-17,605198,3,0.590090225555,2,0,-0.0212765957447,-0.0212765957447,TOP3_FALSE_POSITIVE,0.00231884057971,0.974457215837,0.0998597117715,0.0972966080082,0.0972966080082,0.0172597233716,0.0293394464883,0.0297633940598,,17
600549_2026-06-17,2026-06-17,600549,2,0.578139699328,3,1,0.209677419355,0.07,TOP3_TRUE_POSITIVE,0.0246138996139,0.664473684211,0.0775411299579,0.0526041666667,0.0105,0.0185208517072,0.0606324773701,0.0605519996208,,17
002824_2026-06-17,2026-06-17,002824,2,0.578036803348,4,1,0.144943820225,0.07,RANK4_10_MISSED_WINNER,0.0191048034934,0.798270893372,0.0993984531653,0.0835091950558,0.0366310931641,-0.00111172873819,0.092100554559,0.0944804906972,0.00010289598,17
002515_2026-06-17,2026-06-17,002515,2,0.573912179844,5,1,0.165371809101,0.07,RANK4_10_MISSED_WINNER,0.0366225839268,0.586206896552,0.0954994511526,0.0569196428571,0.0533926585095,-0.00210748155954,0.0820415806574,0.0826418970384,0.004227519484,17
605289_2026-06-17,2026-06-17,605289,2,0.573353681318,6,0,0.065543071161,0.065543071161,RANK4_10_NON_WINNER,0.0169741697417,0.693333333333,0.0575065174053,0.040625,0.00127790723897,-0.00403768506057,0.0594528463961,0.0600247325823,,17
002851_2026-06-17,2026-06-17,002851,2,0.566612674118,7,1,0.0721357850071,0.07,RANK4_10_MISSED_WINNER,0.00600066674075,0.904677846425,0.0692373502811,0.0607767565965,0.0581415981546,0.0118778280543,0.0521235179187,0.0530468217658,0.01152702521,17
002552_2026-06-17,2026-06-17,002552,2,0.560817227216,8,1,0.136402877698,0.07,RANK4_10_MISSED_WINNER,0.0616384915475,0.521212121212,0.139574228112,0.0770149253731,0.016338028169,0.025,0.0569720352311,0.055940616498,0.017322472112,17
002585_2026-06-17,2026-06-17,002585,2,0.556908378035,9,0,0.0378634212306,0.0378634212306,RANK4_10_NON_WINNER,0.0197889182058,0.8125,0.1142041399,0.0958702064897,0.0958702064897,-0.00867244829887,0.0825604711394,0.0835559307069,,17
002990_2026-06-17,2026-06-17,002990,2,0.556280258401,10,1,0.0859687386405,0.07,RANK4_10_MISSED_WINNER,0.0469109576916,0.10472972973,0.0544017643815,0.00579114515225,-0.0373681387449,0.00204727340406,0.0750795877023,0.0736782490451,0.021859440927,17
603516_2026-06-17,2026-06-17,603516,2,0.545834031981,11,1,0.0701068927387,0.07,OTHER,0.0548432055749,0.267225325885,0.0797682709447,0.021617957216,-0.0217109059435,0.00414599837121,0.0528895227708,0.0526320077407,,17
601179_2026-06-17,2026-06-17,601179,2,0.537675693626,12,1,0.0707908163265,0.07,OTHER,0.0436099333737,0.152941176471,0.0521472392638,0.00830140485313,-0.0383678440926,0.00573248407643,0.0994360495498,0.0984122973601,,17
002806_2026-06-17,2026-06-17,002806,2,0.531915436247,13,0,0.0405727923628,0.0405727923628,OTHER,0.0467889908257,0.286713286713,0.0690821256039,0.0201276386843,-0.0294255021018,0.00971817298348,0.0856677071617,0.0851290674599,,17
600545_2026-06-17,2026-06-17,600545,2,0.523922600721,14,1,0.142857142857,0.07,OTHER,0.0435413642961,0.25,0.0607902735562,0.0154083204931,-0.00902255639098,0.00764525993884,0.014397502459,0.0141072451248,,17
603045_2026-06-17,2026-06-17,603045,2,0.521384073304,15,0,0.0585868150077,0.0585868150077,OTHER,0.0122950819672,0.681818181818,0.0374276964954,0.0274056029233,0.016265060241,0.0170002411382,0.0991643246664,0.0983147041754,,17
