event_id,signal_date,code,board_streak_before_break,board_group,d2_date,d3_date,label_available_date,target7,loss,severe_loss_5,raw_repair_return,capped_return_7
002771_2026-05-28,2026-05-28,002771,2,BOARD2,2026-05-29,2026-06-01,2026-06-01,1,0,0,0.0943396226415,0.07
002579_2026-05-29,2026-05-29,002579,3,BOARD3,2026-06-01,2026-06-02,2026-06-02,1,0,0,0.195852534562,0.07
603032_2026-05-29,2026-05-29,603032,2,BOARD2,2026-06-01,2026-06-02,2026-06-02,0,0,0,0.00237812128419,0.00237812128419
603989_2026-05-29,2026-05-29,603989,2,BOARD2,2026-06-01,2026-06-02,2026-06-02,0,1,0,-0.0322019147084,-0.0322019147084
000090_2026-06-01,2026-06-01,000090,2,BOARD2,2026-06-02,2026-06-03,2026-06-03,0,1,0,-0.0263852242744,-0.0263852242744
002806_2026-06-01,2026-06-01,002806,2,BOARD2,2026-06-02,2026-06-03,2026-06-03,1,0,0,0.149321266968,0.07
600110_2026-06-01,2026-06-01,600110,2,BOARD2,2026-06-02,2026-06-03,2026-06-03,0,0,0,0.0451559934319,0.0451559934319
603324_2026-06-01,2026-06-01,603324,2,BOARD2,2026-06-02,2026-06-03,2026-06-03,0,0,0,0.0224038752649,0.0224038752649
002608_2026-06-02,2026-06-02,002608,2,BOARD2,2026-06-03,2026-06-04,2026-06-04,1,0,0,0.099,0.07
600011_2026-06-02,2026-06-02,600011,2,BOARD2,2026-06-03,2026-06-04,2026-06-04,0,0,0,0.0260475651189,0.0260475651189
000055_2026-06-03,2026-06-03,000055,2,BOARD2,2026-06-04,2026-06-05,2026-06-05,0,0,0,0,0
001210_2026-06-03,2026-06-03,001210,2,BOARD2,2026-06-04,2026-06-05,2026-06-05,0,1,1,-0.244557534634,-0.244557534634
002404_2026-06-03,2026-06-03,002404,2,BOARD2,2026-06-04,2026-06-05,2026-06-05,0,0,0,0.0299319727891,0.0299319727891
002421_2026-06-03,2026-06-03,002421,2,BOARD2,2026-06-04,2026-06-05,2026-06-05,0,0,0,0.0698151950719,0.0698151950719
002579_2026-06-03,2026-06-03,002579,2,BOARD2,2026-06-04,2026-06-05,2026-06-05,0,0,0,0.0540254237288,0.0540254237288
600280_2026-06-03,2026-06-03,600280,3,BOARD3,2026-06-04,2026-06-05,2026-06-05,0,1,0,-0.0125313283208,-0.0125313283208
