event_id,signal_date,code,candidate_count,label_available_date,stage1_score,stage1_rank,stage1_top10,stage1_strength,closing_completion_gap,strength_x_gap,original_stage1_top3,risk_p_loss,risk_veto,final_limited_risk_rank,target7,loss_target,raw_repair_return,capped_opportunity_return_7
603261_2026-06-22,2026-06-22,603261,7,2026-06-24,0.497476143419,6,True,0.166666666667,0.357142857143,0.0595238095238,False,,False,6,1,0,0.193737328227,0.07
603324_2026-06-22,2026-06-22,603324,7,2026-06-24,0.480874776823,7,True,0,0.678571428571,0,False,,False,7,1,0,0.106767652089,0.07
603663_2026-06-23,2026-06-23,603663,14,2026-06-25,0.586697764065,1,True,1,0.325,0.325,True,0.225261995393,False,1,0,0,0.0294117647059,0.0294117647059
002297_2026-06-23,2026-06-23,002297,14,2026-06-25,0.585916022725,2,True,0.923076923077,0.4,0.369230769231,True,0.224929558144,False,2,1,0,0.132492113565,0.07
600769_2026-06-23,2026-06-23,600769,14,2026-06-25,0.584547348003,3,True,0.846153846154,0.225,0.190384615385,True,0.22674658941,False,3,0,0,0.00775547445255,0.00775547445255
003031_2026-06-23,2026-06-23,003031,14,2026-06-25,0.584507137196,4,True,0.769230769231,0.8,0.615384615385,False,,False,4,0,0,0.0645161290323,0.0645161290323
000811_2026-06-23,2026-06-23,000811,14,2026-06-25,0.584407024115,5,True,0.692307692308,0.175,0.121153846154,False,,False,5,1,0,0.219968087531,0.07
603082_2026-06-23,2026-06-23,603082,14,2026-06-25,0.580361581035,6,True,0.615384615385,0.225,0.138461538462,False,,False,6,0,0,0.0208955223881,0.0208955223881
002655_2026-06-23,2026-06-23,002655,14,2026-06-25,0.576492802044,7,True,0.538461538462,0.75,0.403846153846,False,,False,7,1,0,0.112807463953,0.07
000657_2026-06-23,2026-06-23,000657,14,2026-06-25,0.575906534438,8,True,0.461538461538,0.775,0.357692307692,False,,False,8,1,0,0.0773082315241,0.07
002805_2026-06-23,2026-06-23,002805,14,2026-06-25,0.570212773876,9,True,0.384615384615,0.35,0.134615384615,False,,False,9,0,0,0.0302405498282,0.0302405498282
603380_2026-06-23,2026-06-23,603380,14,2026-06-25,0.558216328985,10,True,0.307692307692,0.725,0.223076923077,False,,False,10,1,0,0.108924806746,0.07
002842_2026-06-23,2026-06-23,002842,14,2026-06-25,0.555605676934,11,False,0.230769230769,,,False,,False,11,1,0,0.0887335874629,0.07
001296_2026-06-23,2026-06-23,001296,14,2026-06-25,0.542229052168,12,False,0.153846153846,,,False,,False,12,0,0,0.0229293401965,0.0229293401965
600162_2026-06-23,2026-06-23,600162,14,2026-06-25,0.533451651476,13,False,0.0769230769231,,,False,,False,13,1,0,0.0704960835509,0.07
002354_2026-06-23,2026-06-23,002354,14,2026-06-25,0.532314135827,14,False,0,,,False,,False,14,0,0,0.0438489646772,0.0438489646772
603757_2026-06-24,2026-06-24,603757,15,2026-06-26,0.596544810405,1,True,1,0.075,0.075,True,0.241208198652,False,1,0,0,0.0516980613227,0.0516980613227
600851_2026-06-24,2026-06-24,600851,15,2026-06-26,0.586701950624,2,True,0.928571428571,0.8,0.742857142857,True,0.235479068964,False,2,0,1,-0.036815920398,-0.036815920398
000070_2026-06-24,2026-06-24,000070,15,2026-06-26,0.582955068084,3,True,0.857142857143,0.5,0.428571428571,True,0.238209422718,False,3,0,1,-0.0225029609159,-0.0225029609159
600172_2026-06-24,2026-06-24,600172,15,2026-06-26,0.582326078323,4,True,0.785714285714,0.25,0.196428571429,False,,False,4,0,0,0.0564468211527,0.0564468211527
601869_2026-06-24,2026-06-24,601869,15,2026-06-26,0.577372843246,5,True,0.714285714286,0.3,0.214285714286,False,,False,5,0,1,-0.0267558528428,-0.0267558528428
002068_2026-06-24,2026-06-24,002068,15,2026-06-26,0.559325472293,6,True,0.642857142857,0.075,0.0482142857143,False,,False,6,0,0,0.0647138964578,0.0647138964578
000783_2026-06-24,2026-06-24,000783,15,2026-06-26,0.555681847817,7,True,0.571428571429,0.875,0.5,False,,False,7,1,0,0.091103965702,0.07
600470_2026-06-24,2026-06-24,600470,15,2026-06-26,0.553948548934,8,True,0.5,0.575,0.2875,False,,False,8,0,0,0.0189873417722,0.0189873417722
000571_2026-06-24,2026-06-24,000571,15,2026-06-26,0.550804470021,9,True,0.428571428571,0.7,0.3,False,,False,9,1,0,0.079674796748,0.07
002830_2026-06-24,2026-06-24,002830,15,2026-06-26,0.549015627306,10,True,0.357142857143,0.6,0.214285714286,False,,False,10,0,1,-0.0324971493729,-0.0324971493729
600400_2026-06-24,2026-06-24,600400,15,2026-06-26,0.547862758229,11,False,0.285714285714,,,False,,False,11,1,0,0.100323624595,0.07
605580_2026-06-24,2026-06-24,605580,15,2026-06-26,0.547690965321,12,False,0.214285714286,,,False,,False,12,0,1,-0.00604026845638,-0.00604026845638
605377_2026-06-24,2026-06-24,605377,15,2026-06-26,0.541505855729,13,False,0.142857142857,,,False,,False,13,0,1,-0.0173913043478,-0.0173913043478
600322_2026-06-24,2026-06-24,600322,15,2026-06-26,0.529890710676,14,False,0.0714285714286,,,False,,False,14,0,0,0.0181818181818,0.0181818181818
002672_2026-06-24,2026-06-24,002672,15,2026-06-26,0.525219100429,15,False,0,,,False,,False,15,0,0,0.0512129380054,0.0512129380054
600909_2026-06-25,2026-06-25,600909,9,2026-06-29,0.585935991637,1,True,1,0.194444444444,0.194444444444,True,0.242875297757,False,1,1,0,0.07,0.07
605069_2026-06-25,2026-06-25,605069,9,2026-06-29,0.585333706796,2,True,0.875,0.194444444444,0.170138888889,True,0.243414214188,False,2,1,0,0.108333333333,0.07
600379_2026-06-25,2026-06-25,600379,9,2026-06-29,0.581718702754,3,True,0.75,0.138888888889,0.104166666667,True,0.244389847509,False,3,0,1,-0.0113182423435,-0.0113182423435
002580_2026-06-25,2026-06-25,002580,9,2026-06-29,0.571799934422,4,True,0.625,0.611111111111,0.381944444444,False,,False,4,0,1,-0.12269446672,-0.12269446672
002631_2026-06-25,2026-06-25,002631,9,2026-06-29,0.569926519491,5,True,0.5,0.444444444444,0.222222222222,False,,False,5,0,0,0.0383838383838,0.0383838383838
603938_2026-06-25,2026-06-25,603938,9,2026-06-29,0.569380151262,6,True,0.375,0.666666666667,0.25,False,,False,6,1,0,0.174225028703,0.07
000566_2026-06-25,2026-06-25,000566,9,2026-06-29,0.556051086441,7,True,0.25,0.388888888889,0.0972222222222,False,,False,7,0,1,-0.0021978021978,-0.0021978021978
002584_2026-06-25,2026-06-25,002584,9,2026-06-29,0.554461105172,8,True,0.125,0.75,0.09375,False,,False,8,0,0,0.0383064516129,0.0383064516129
