event_id,code,signal_date,break_date,stage_group,days_since_break,exclusion_reason
002631_2026-06-25,002631,2026-06-26,2026-06-25,post,1,not_d1_first_break_observation
002672_2026-06-24,002672,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
002687_2026-06-25,002687,2026-06-26,2026-06-25,post,1,not_d1_first_break_observation
002830_2026-06-24,002830,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
600172_2026-06-24,600172,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
600322_2026-06-24,600322,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
600379_2026-06-25,600379,2026-06-26,2026-06-25,post,1,not_d1_first_break_observation
600400_2026-06-24,600400,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
600470_2026-06-24,600470,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
600851_2026-06-24,600851,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
600909_2026-06-25,600909,2026-06-26,2026-06-25,post,1,not_d1_first_break_observation
601869_2026-06-24,601869,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
603757_2026-06-24,603757,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
603938_2026-06-25,603938,2026-06-26,2026-06-25,post,1,not_d1_first_break_observation
605069_2026-06-25,605069,2026-06-26,2026-06-25,post,1,not_d1_first_break_observation
605377_2026-06-24,605377,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
605580_2026-06-24,605580,2026-06-26,2026-06-24,post,2,not_d1_first_break_observation
000818_2026-06-26,000818,2026-06-29,2026-06-26,post,1,not_d1_first_break_observation
002025_2026-06-26,002025,2026-06-29,2026-06-26,post,1,not_d1_first_break_observation
002080_2026-06-26,002080,2026-06-29,2026-06-26,post,1,not_d1_first_break_observation
002254_2026-06-26,002254,2026-06-29,2026-06-26,post,1,not_d1_first_break_observation
002580_2026-06-25,002580,2026-06-29,2026-06-25,post,2,not_d1_first_break_observation
002584_2026-06-25,002584,2026-06-29,2026-06-25,post,2,not_d1_first_break_observation
002631_2026-06-25,002631,2026-06-29,2026-06-25,post,2,not_d1_first_break_observation
002990_2026-06-26,002990,2026-06-29,2026-06-26,post,1,not_d1_first_break_observation
600141_2026-06-26,600141,2026-06-29,2026-06-26,post,1,not_d1_first_break_observation
600379_2026-06-25,600379,2026-06-29,2026-06-25,post,2,not_d1_first_break_observation
600584_2026-06-26,600584,2026-06-29,2026-06-26,post,1,not_d1_first_break_observation
600667_2026-06-26,600667,2026-06-29,2026-06-26,post,1,not_d1_first_break_observation
600909_2026-06-25,600909,2026-06-29,2026-06-25,post,2,not_d1_first_break_observation
603678_2026-06-26,603678,2026-06-29,2026-06-26,post,1,not_d1_first_break_observation
603713_2026-06-26,603713,2026-06-29,2026-06-26,post,1,not_d1_first_break_observation
603929_2026-06-26,603929,2026-06-29,2026-06-26,post,1,not_d1_first_break_observation
603989_2026-06-26,603989,2026-06-29,2026-06-26,post,1,not_d1_first_break_observation
605069_2026-06-25,605069,2026-06-29,2026-06-25,post,2,not_d1_first_break_observation
000823_2026-06-29,000823,2026-06-30,2026-06-29,post,1,not_d1_first_break_observation
002025_2026-06-26,002025,2026-06-30,2026-06-26,post,2,not_d1_first_break_observation
002080_2026-06-26,002080,2026-06-30,2026-06-26,post,2,not_d1_first_break_observation
002141_2026-06-29,002141,2026-06-30,2026-06-29,post,1,not_d1_first_break_observation
002965_2026-06-29,002965,2026-06-30,2026-06-29,post,1,not_d1_first_break_observation
600228_2026-06-29,600228,2026-06-30,2026-06-29,post,1,not_d1_first_break_observation
600584_2026-06-26,600584,2026-06-30,2026-06-26,post,2,not_d1_first_break_observation
600667_2026-06-26,600667,2026-06-30,2026-06-26,post,2,not_d1_first_break_observation
600962_2026-06-29,600962,2026-06-30,2026-06-29,post,1,not_d1_first_break_observation
603678_2026-06-26,603678,2026-06-30,2026-06-26,post,2,not_d1_first_break_observation
603713_2026-06-26,603713,2026-06-30,2026-06-26,post,2,not_d1_first_break_observation
603929_2026-06-26,603929,2026-06-30,2026-06-26,post,2,not_d1_first_break_observation
603989_2026-06-26,603989,2026-06-30,2026-06-26,post,2,not_d1_first_break_observation
002141_2026-06-29,002141,2026-07-01,2026-06-29,post,2,not_d1_first_break_observation
002180_2026-06-30,002180,2026-07-01,2026-06-30,post,1,not_d1_first_break_observation
