scope,signal_date,feature,group_a_count,group_b_count,group_a_mean,group_b_mean,mean_difference_a_minus_b,group_a_median,group_b_median,median_difference_a_minus_b,group_a_q25,group_b_q25,q25_difference_a_minus_b,group_a_q75,group_b_q75,q75_difference_a_minus_b,daily_comparable_dates,daily_nonzero_direction_dates,daily_a_greater_than_b_rate,daily_direction_consistency_rate,persistent_extreme_signal_bool
daily,2026-06-30,abs_d1_close_ma10_pct,3,1,23.009833333333333,18.2653,4.744533333333333,27.1444,18.2653,8.879100000000001,19.74195,18.2653,1.4766499999999994,28.345,18.2653,10.079699999999999,,,,,
daily,2026-07-01,abs_d1_close_ma10_pct,3,5,21.321133333333332,22.906200000000002,-1.5850666666666697,19.3406,25.1785,-5.837900000000001,17.522399999999998,18.6843,-1.1619000000000028,24.1296,26.9845,-2.8549000000000007,,,,,
daily,2026-07-02,abs_d1_close_ma10_pct,5,2,16.861620000000002,20.5696,-3.707979999999999,14.8385,20.5696,-5.731100000000001,13.5385,16.3583,-2.819799999999999,20.4432,24.780900000000003,-4.337700000000002,,,,,
daily,2026-07-03,abs_d1_close_ma10_pct,4,2,15.47755,14.046199999999999,1.431350000000002,12.9985,14.046199999999999,-1.047699999999999,11.059525,12.32085,-1.2613249999999994,17.416525,15.77155,1.6449750000000005,,,,,
daily,2026-07-06,abs_d1_close_ma10_pct,6,0,15.394216666666665,,,14.02145,,,12.4957,,,17.113574999999997,,,,,,,
daily,2026-07-07,abs_d1_close_ma10_pct,5,0,16.03796,,,14.1819,,,13.1773,,,16.9945,,,,,,,
daily,2026-07-08,abs_d1_close_ma10_pct,4,3,15.668500000000002,13.054400000000001,2.6141000000000005,13.8129,15.956,-2.1430999999999987,10.8284,11.22815,-0.39974999999999916,18.653000000000002,16.33145,2.321550000000002,,,,,
overall,ALL,abs_d1_close_ma10_pct,39,18,18.403192307692304,18.929672222222223,-0.5264799145299186,15.7042,18.07885,-2.374649999999999,12.3676,15.79385,-3.4262500000000014,24.374000000000002,25.0716,-0.6975999999999978,7.0,7.0,0.5714285714285714,0.42857142857142855,False
daily,2026-06-26,abs_d1_close_vwap_pct,4,3,2.518725,1.0062666666666666,1.5124583333333332,2.4625500000000002,0.4982,1.9643500000000003,1.83565,0.43345,1.4022000000000001,3.145625,1.32505,1.8205749999999998,,,,,
daily,2026-06-29,abs_d1_close_vwap_pct,5,2,3.5495399999999995,3.2535,0.29603999999999964,2.7792,3.2535,-0.47429999999999994,2.3035,3.24165,-0.9381499999999998,4.6925,3.26535,1.4271499999999997,,,,,
daily,2026-06-30,abs_d1_close_vwap_pct,3,1,2.9901666666666666,1.8462,1.1439666666666666,3.3652,1.8462,1.5190000000000001,1.8342500000000002,1.8462,-0.011949999999999905,4.3336,1.8462,2.4873999999999996,,,,,
daily,2026-07-01,abs_d1_close_vwap_pct,3,5,0.6025333333333333,3.85032,-3.247786666666667,0.3025,3.0765,-2.774,0.2119,1.7908,-1.5789,0.84315,3.8967,-3.05355,,,,,
daily,2026-07-02,abs_d1_close_vwap_pct,5,2,1.3180999999999998,1.6607500000000002,-0.34265000000000034,1.4261,1.6607500000000002,-0.23465000000000025,0.8064,1.282775,-0.476375,1.5081,2.038725,-0.5306249999999999,,,,,
daily,2026-07-03,abs_d1_close_vwap_pct,4,2,0.9604250000000001,1.5036,-0.543175,0.406,1.5036,-1.0976,0.38645,1.09105,-0.7046000000000001,0.979975,1.91615,-0.936175,,,,,
daily,2026-07-06,abs_d1_close_vwap_pct,6,0,1.2523166666666665,,,1.1276000000000002,,,0.5463,,,1.663675,,,,,,,
daily,2026-07-07,abs_d1_close_vwap_pct,5,0,1.2527400000000002,,,0.9866,,,0.259,,,1.7946,,,,,,,
daily,2026-07-08,abs_d1_close_vwap_pct,4,3,0.48919999999999997,2.3437666666666668,-1.854566666666667,0.4086,2.4462,-2.0376000000000003,0.20534999999999998,2.21425,-2.0088999999999997,0.69245,2.5244999999999997,-1.8320499999999997,,,,,
overall,ALL,abs_d1_close_vwap_pct,39,18,1.6607,2.443533333333333,-0.7828333333333328,1.3706,2.2403,-0.8696999999999999,0.42595,1.1263,-0.70035,2.4646,2.958075,-0.4934750000000001,7.0,7.0,0.42857142857142855,0.5714285714285714,False
