event_id,signal_date,code,candidate_count,stage1_rank,stage1_strength,stage1_top10,closing_completion_gap,strength_x_gap,binary_pair_score,binary_pair_rank,capped_pair_score,capped_pair_rank,raw_pair_score,raw_pair_rank,target7,raw_return,capped_return_7
600378_2026-06-12,2026-06-12,600378,8,4,0.571428571429,True,0.78125,0.446428571429,0.235640654728,4,0.0169898566097,3,0.0135934537485,4,1,0.0784588441331,0.07
002165_2026-06-12,2026-06-12,002165,8,5,0.428571428571,True,0.125,0.0535714285714,0.127129187519,5,0.0100824064688,7,0.00718590983348,5,1,0.0732356857523,0.07
600665_2026-06-12,2026-06-12,600665,8,6,0.285714285714,True,0.0625,0.0178571428571,0.0819301846034,6,0.00672039200726,8,0.00458672653633,6,0,0.012987012987,0.012987012987
603155_2026-06-12,2026-06-12,603155,8,7,0.142857142857,True,0.625,0.0892857142857,0.0730371472698,7,0.0133078337038,5,0.00245061694947,7,1,0.087962962963,0.07
600178_2026-06-12,2026-06-12,600178,8,8,0,True,0.65625,0,0.0254235491032,8,0.0130491143035,6,-0.000997770907443,8,0,-0.00398803589232,-0.00398803589232
002203_2026-06-15,2026-06-15,002203,3,1,1,True,0.0833333333333,0.0833333333333,0.274536560727,1,0.020236087761,1,0.016297840371,1,0,0.03625,0.03625
600067_2026-06-15,2026-06-15,600067,3,2,0.5,True,0.5,0.25,0.177117964686,2,0.0140317528395,2,0.00993202821927,2,0,0.0285714285714,0.0285714285714
603014_2026-06-15,2026-06-15,603014,3,3,0,True,0.666666666667,0,0.0316244394868,3,0.0127727042169,3,-0.000768383406312,3,1,0.111851637207,0.07
601958_2026-06-16,2026-06-16,601958,7,1,1,True,0.357142857143,0.357142857143,0.25381890431,1,0.0174586589608,1,0.0155512835766,1,0,0.0439285714286,0.0439285714286
001359_2026-06-16,2026-06-16,001359,7,2,0.833333333333,True,0.392857142857,0.327380952381,0.222160055918,2,0.0157872704389,3,0.0134469784715,2,1,0.120841364284,0.07
000510_2026-06-16,2026-06-16,000510,7,3,0.666666666667,True,0.107142857143,0.0714285714286,0.146467483127,4,0.012806283315,6,0.00839055827294,4,0,-0.0145310435931,-0.0145310435931
603738_2026-06-16,2026-06-16,603738,7,4,0.5,True,0.714285714286,0.357142857143,0.187503404581,3,0.0154405315719,4,0.010634219707,3,1,0.129815592478,0.07
601696_2026-06-16,2026-06-16,601696,7,5,0.333333333333,True,0.25,0.0833333333333,0.0942999211782,6,0.00927148415563,7,0.00505787912201,5,0,-0.0187265917603,-0.0187265917603
603335_2026-06-16,2026-06-16,603335,7,6,0.166666666667,True,0.785714285714,0.130952380952,0.113437413677,5,0.0159017262421,2,0.00469385381775,6,1,0.111922141119,0.07
000506_2026-06-16,2026-06-16,000506,7,7,0,True,0.642857142857,0,0.0588935076129,7,0.0129442632849,5,0.00120375048661,7,0,-0.00130975769483,-0.00130975769483
603256_2026-06-17,2026-06-17,603256,17,1,1,True,0.775,0.775,0.368007293689,1,0.0199826146528,1,0.0253735851809,1,1,0.12002451982,0.07
605198_2026-06-17,2026-06-17,605198,17,2,0.9375,True,0.025,0.0234375,0.220014109008,8,0.0188119613565,4,0.0123423893285,8,0,-0.0212765957447,-0.0212765957447
600549_2026-06-17,2026-06-17,600549,17,3,0.875,True,0.6,0.525,0.305638171971,2,0.0191657321579,3,0.020134810644,2,1,0.209677419355,0.07
002824_2026-06-17,2026-06-17,002824,17,4,0.8125,True,0.325,0.2640625,0.24274938975,5,0.0176165431627,6,0.0150070939363,5,1,0.144943820225,0.07
002515_2026-06-17,2026-06-17,002515,17,5,0.75,True,0.525,0.39375,0.2616918191,3,0.0179236423956,5,0.0167236806022,3,1,0.165371809101,0.07
605289_2026-06-17,2026-06-17,605289,17,6,0.6875,True,0.55,0.378125,0.250440147274,4,0.0175780893922,7,0.0159038742586,4,0,0.065543071161,0.065543071161
002851_2026-06-17,2026-06-17,002851,17,7,0.625,True,0.225,0.140625,0.181050591836,9,0.0143907904661,9,0.0107394652389,9,1,0.0721357850071,0.07
002552_2026-06-17,2026-06-17,002552,17,8,0.5625,True,0.625,0.3515625,0.231724198112,7,0.0173393875501,8,0.0144563787525,7,1,0.136402877698,0.07
002585_2026-06-17,2026-06-17,002585,17,9,0.5,True,0.225,0.1125,0.151381608068,10,0.0125155231385,10,0.00884801516116,10,0,0.0378634212306,0.0378634212306
002990_2026-06-17,2026-06-17,002990,17,10,0.4375,True,0.875,0.3828125,0.240338308097,6,0.0197088088805,2,0.014618497456,6,1,0.0859687386405,0.07
603516_2026-06-17,2026-06-17,603516,17,11,0.375,False,,,,,,,,,1,0.0701068927387,0.07
601179_2026-06-17,2026-06-17,601179,17,12,0.3125,False,,,,,,,,,1,0.0707908163265,0.07
002806_2026-06-17,2026-06-17,002806,17,13,0.25,False,,,,,,,,,0,0.0405727923628,0.0405727923628
600545_2026-06-17,2026-06-17,600545,17,14,0.1875,False,,,,,,,,,1,0.142857142857,0.07
603045_2026-06-17,2026-06-17,603045,17,15,0.125,False,,,,,,,,,0,0.0585868150077,0.0585868150077
600703_2026-06-17,2026-06-17,600703,17,16,0.0625,False,,,,,,,,,1,0.0892151326934,0.07
002051_2026-06-17,2026-06-17,002051,17,17,0,False,,,,,,,,,1,0.0827974276527,0.07
603186_2026-06-18,2026-06-18,603186,15,1,1,True,0.1,0.1,0.230841310224,7,0.0171571837112,5,0.0120832076847,7,0,0.0454831800428,0.0454831800428
002741_2026-06-18,2026-06-18,002741,15,2,0.928571428571,True,0.1,0.0928571428571,0.215372711277,8,0.0160930998315,7,0.0112699487972,9,0,-0.0204131227217,-0.0204131227217
600110_2026-06-18,2026-06-18,600110,15,3,0.857142857143,True,0.5,0.428571428571,0.287183611134,2,0.0176828931314,4,0.0195813921114,2,0,-0.0444572748268,-0.0444572748268
