event_id,signal_date,code,target7,raw_repair_return,capped_opportunity_return_7,control_score,control_rank,curve_score,curve_rank,rank_delta,rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_d1_close_vwap_pct,rank_log_candidate_base_price,quad_close_ma10,quad_low_ma10,quad_trend_hold,quad_close_vwap,quad_log_base_price,extreme_strength_count
002585_2026-06-17,2026-06-17,002585,0,0.0378634212306,0.0378634212306,0.556908378035,9,0.546780266144,10,1,0.705882352941,0.470588235294,0.441176470588,0.764705882353,0.235294117647,0.498269896194,0.221453287197,0.194636678201,0.584775086505,0.0553633217993,0
603516_2026-06-17,2026-06-17,603516,1,0.0701068927387,0.07,0.545834031981,11,0.545865900816,11,0,0.411764705882,0.352941176471,0.441176470588,0.411764705882,0.882352941176,0.16955017301,0.124567474048,0.194636678201,0.16955017301,0.778546712803,0
601179_2026-06-17,2026-06-17,601179,1,0.0707908163265,0.07,0.537675693626,12,0.524569731091,12,0,0.352941176471,0.411764705882,0.441176470588,0.352941176471,0.294117647059,0.124567474048,0.16955017301,0.194636678201,0.124567474048,0.0865051903114,0
002806_2026-06-17,2026-06-17,002806,0,0.0405727923628,0.0405727923628,0.531915436247,13,0.52021311443,13,0,0.294117647059,0.294117647059,0.264705882353,0.470588235294,0.411764705882,0.0865051903114,0.0865051903114,0.0700692041522,0.221453287197,0.16955017301,0
603045_2026-06-17,2026-06-17,603045,0,0.0585868150077,0.0585868150077,0.521384073304,15,0.516640920831,14,-1,0.0588235294118,0.0588235294118,0.0588235294118,0.529411764706,0.705882352941,0.00346020761246,0.00346020761246,0.00346020761246,0.280276816609,0.498269896194,0
600545_2026-06-17,2026-06-17,600545,1,0.142857142857,0.07,0.523922600721,14,0.508124539946,15,1,0.117647058824,0.117647058824,0.147058823529,0.176470588235,0.0588235294118,0.0138408304498,0.0138408304498,0.0216262975779,0.0311418685121,0.00346020761246,0
600703_2026-06-17,2026-06-17,600703,1,0.0892151326934,0.07,0.504123317788,16,0.491367076576,16,0,0.235294117647,0.235294117647,0.264705882353,0.588235294118,0.352941176471,0.0553633217993,0.0553633217993,0.0700692041522,0.346020761246,0.124567474048,0
002051_2026-06-17,2026-06-17,002051,1,0.0827974276527,0.07,0.500552218524,17,0.484692720369,17,0,0.176470588235,0.176470588235,0.147058823529,0.0588235294118,0.176470588235,0.0311418685121,0.0311418685121,0.0216262975779,0.00346020761246,0.0311418685121,0
603186_2026-06-18,2026-06-18,603186,0,0.0454831800428,0.0454831800428,0.597085596238,1,0.612498252736,1,0,1,0.933333333333,0.466666666667,1,1,1,0.871111111111,0.217777777778,1,1,4
002741_2026-06-18,2026-06-18,002741,0,-0.0204131227217,-0.0204131227217,0.59561853857,2,0.599415478946,2,0,0.933333333333,0.866666666667,0.466666666667,0.933333333333,0.666666666667,0.871111111111,0.751111111111,0.217777777778,0.871111111111,0.444444444444,2
600110_2026-06-18,2026-06-18,600110,0,-0.0444572748268,-0.0444572748268,0.593164230287,3,0.593145988999,3,0,0.866666666667,1,0.466666666667,0.666666666667,0.466666666667,0.751111111111,1,0.217777777778,0.444444444444,0.217777777778,1
603002_2026-06-18,2026-06-18,603002,1,0.117920540997,0.07,0.588881639336,4,0.589600685437,4,0,0.8,0.8,0.8,0.866666666667,0.6,0.64,0.64,0.64,0.751111111111,0.36,0
002080_2026-06-18,2026-06-18,002080,0,0.0197681513118,0.0197681513118,0.578674209998,5,0.579524659014,5,0,0.666666666667,0.666666666667,0.8,0.733333333333,0.733333333333,0.444444444444,0.444444444444,0.64,0.537777777778,0.537777777778,0
