event_id,signal_date,code,candidate_count,label_available_date,stage1_score,stage1_rank,stage1_top10,closing_completion_gap,strength_x_gap,capped_pair_score,capped_pair_rank,final_capped_rank,target7,raw_repair_return,capped_opportunity_return_7,outcome_state,rank_strict_stage1,rank_strict_capped,rank_winner_protect,rank_loss_permission,rank_oracle_loss_stage1_backfill,rank_oracle_risk_oracle_backfill,rank_top10_oracle
600110_2026-06-18,2026-06-18,600110,15,2026-06-23,0.580452756331,3,True,0.5,0.428571428571,0.0160736355301,5,5,0,-0.0444572748268,-0.0444572748268,LOSS,3,4,4,4,5,5,5
603002_2026-06-18,2026-06-18,603002,15,2026-06-23,0.573955645041,4,True,0.4,0.314285714286,0.0153528948146,7,7,1,0.117920540997,0.07,TARGET7,4,5,5,5,2,2,1
002080_2026-06-18,2026-06-18,002080,15,2026-06-23,0.560803777126,5,True,0.425,0.303571428571,0.0147851974744,8,8,0,0.0197681513118,0.0197681513118,POSITIVE_NON_TARGET,5,6,6,6,3,6,6
603115_2026-06-18,2026-06-18,603115,15,2026-06-23,0.552043813694,6,True,0.875,0.5625,0.0166208136082,3,3,0,0.0322945682451,0.0322945682451,POSITIVE_NON_TARGET,6,3,3,3,6,7,7
600186_2026-06-18,2026-06-18,600186,15,2026-06-23,0.551631778798,7,True,0.775,0.442857142857,0.0160223434122,6,6,0,0.0350515463918,0.0350515463918,POSITIVE_NON_TARGET,7,7,7,7,7,8,8
000679_2026-06-18,2026-06-18,000679,15,2026-06-23,0.546599234047,8,True,0.45,0.225,0.013135007255,9,9,0,0.0197889182058,0.0197889182058,POSITIVE_NON_TARGET,8,8,8,8,8,9,9
603773_2026-06-18,2026-06-18,603773,15,2026-06-23,0.538454414922,9,True,0.325,0.139285714286,0.0112587690862,10,10,0,0.0675738274464,0.0675738274464,POSITIVE_NON_TARGET,9,9,9,9,9,3,2
000777_2026-06-18,2026-06-18,000777,15,2026-06-23,0.535094883741,10,True,0.8,0.285714285714,0.0161654541436,4,4,0,0.0143464399575,0.0143464399575,POSITIVE_NON_TARGET,10,10,10,10,10,10,10
601636_2026-06-18,2026-06-18,601636,15,2026-06-23,0.53503798609,11,False,,,,,11,0,0.0048309178744,0.0048309178744,POSITIVE_NON_TARGET,11,11,11,11,11,11,11
002484_2026-06-18,2026-06-18,002484,15,2026-06-23,0.525255049639,12,False,,,,,12,0,-0.0501659904094,-0.0501659904094,LOSS,12,12,12,12,12,12,12
600192_2026-06-18,2026-06-18,600192,15,2026-06-23,0.523584163994,13,False,,,,,13,0,0.00126742712294,0.00126742712294,POSITIVE_NON_TARGET,13,13,13,13,13,13,13
600615_2026-06-18,2026-06-18,600615,15,2026-06-23,0.521173712542,14,False,,,,,14,0,-0.00570342205323,-0.00570342205323,LOSS,14,14,14,14,14,14,14
600707_2026-06-18,2026-06-18,600707,15,2026-06-23,0.514021305021,15,False,,,,,15,1,0.109845402766,0.07,TARGET7,15,15,15,15,15,15,15
001339_2026-06-22,2026-06-22,001339,7,2026-06-24,0.517562963578,1,True,0.214285714286,0.214285714286,0.020017254354,1,1,0,0.0626988437961,0.0626988437961,POSITIVE_NON_TARGET,1,1,2,1,1,1,4
002989_2026-06-22,2026-06-22,002989,7,2026-06-24,0.515856084349,2,True,0.142857142857,0.119047619048,0.0172153525804,3,3,0,0.0214190093708,0.0214190093708,POSITIVE_NON_TARGET,2,3,4,2,2,2,5
002491_2026-06-22,2026-06-22,002491,7,2026-06-24,0.512636590575,3,True,0.464285714286,0.309523809524,0.0167836351599,4,4,1,0.0711188204683,0.07,TARGET7,3,4,1,3,3,3,2
002141_2026-06-22,2026-06-22,002141,7,2026-06-24,0.504174372027,4,True,0.892857142857,0.446428571429,0.0199369799994,2,2,1,0.0746268656716,0.07,TARGET7,4,2,3,4,4,4,1
002579_2026-06-22,2026-06-22,002579,7,2026-06-24,0.503604742205,5,True,0.5,0.166666666667,0.0140953550032,6,6,0,-0.0383309073265,-0.0383309073265,LOSS,5,5,5,5,5,5,6
603261_2026-06-22,2026-06-22,603261,7,2026-06-24,0.497476143419,6,True,0.357142857143,0.0595238095238,0.00996761359285,7,7,1,0.193737328227,0.07,TARGET7,6,6,6,6,6,6,3
603324_2026-06-22,2026-06-22,603324,7,2026-06-24,0.480874776823,7,True,0.678571428571,0,0.0151229559898,5,5,1,0.106767652089,0.07,TARGET7,7,7,7,7,7,7,7
603663_2026-06-23,2026-06-23,603663,14,2026-06-25,0.586697764065,1,True,0.325,0.325,0.0180512870871,4,4,0,0.0294117647059,0.0294117647059,POSITIVE_NON_TARGET,1,4,4,1,1,1,4
002297_2026-06-23,2026-06-23,002297,14,2026-06-25,0.585916022725,2,True,0.4,0.369230769231,0.0176332227792,5,5,1,0.132492113565,0.07,TARGET7,2,5,1,2,2,2,3
600769_2026-06-23,2026-06-23,600769,14,2026-06-25,0.584547348003,3,True,0.225,0.190384615385,0.0157202329367,7,7,0,0.00775547445255,0.00775547445255,POSITIVE_NON_TARGET,3,6,5,3,3,3,5
003031_2026-06-23,2026-06-23,003031,14,2026-06-25,0.584507137196,4,True,0.8,0.615384615385,0.0195098932362,1,1,0,0.0645161290323,0.0645161290323,POSITIVE_NON_TARGET,4,1,2,4,4,4,6
000811_2026-06-23,2026-06-23,000811,14,2026-06-25,0.584407024115,5,True,0.175,0.121153846154,0.0133013099458,8,8,1,0.219968087531,0.07,TARGET7,5,7,6,5,5,5,2
603082_2026-06-23,2026-06-23,603082,14,2026-06-25,0.580361581035,6,True,0.225,0.138461538462,0.0128197206283,9,9,0,0.0208955223881,0.0208955223881,POSITIVE_NON_TARGET,6,8,7,6,6,6,7
002655_2026-06-23,2026-06-23,002655,14,2026-06-25,0.576492802044,7,True,0.75,0.403846153846,0.0184524204554,3,3,1,0.112807463953,0.07,TARGET7,7,3,8,7,7,7,8
000657_2026-06-23,2026-06-23,000657,14,2026-06-25,0.575906534438,8,True,0.775,0.357692307692,0.0185878825173,2,2,1,0.0773082315241,0.07,TARGET7,8,2,3,8,8,8,1
002805_2026-06-23,2026-06-23,002805,14,2026-06-25,0.570212773876,9,True,0.35,0.134615384615,0.0118487248153,10,10,0,0.0302405498282,0.0302405498282,POSITIVE_NON_TARGET,9,9,9,9,9,9,9
