comparison,comparison_description,factor_type,factor,bucket_or_value,positive_group,negative_group,positive_count,negative_count,positive_mean,negative_mean,difference,effect_size,positive_rate,negative_rate,lift,evidence_score,priority,direction,interpretation
success_vs_failed,Trade quality: executed winners vs executed losers.,segment,failure_reason,stop_hit,success,failed,2,14,,,-0.5416666666666667,,0.3333333333333333,0.875,0.38095238095238093,0.5416666666666667,1,negative_group_overrepresented,`failure_reason=stop_hit` is overrepresented in the negative group. lift=0.38.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,active_money_score,,success,failed,6,16,75.33333333333333,80.125,-4.791666666666671,-0.362816145846864,,,,0.362816145846864,1,negative_group_higher,`active_money_score` is higher in the negative group; treat as a candidate hypothesis.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,total_score,,success,failed,6,16,81.48333333333333,79.78125,1.7020833333333343,0.3611991689708167,,,,0.3611991689708167,1,positive_group_higher,`total_score` is higher in the positive group; treat as a candidate hypothesis.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,low_absorb_width_pct,,success,failed,6,16,3.5449359520430748,3.897521370316318,-0.3525854182732431,-0.32951809658485737,,,,0.32951809658485737,1,negative_group_higher,`low_absorb_width_pct` is higher in the negative group; treat as a candidate hypothesis.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,invalid_distance_pct,,success,failed,6,16,3.5449359520430748,3.897521370316318,-0.3525854182732431,-0.32951809658485737,,,,0.32951809658485737,1,negative_group_higher,`invalid_distance_pct` is higher in the negative group; treat as a candidate hypothesis.
success_vs_failed,Trade quality: executed winners vs executed losers.,numeric,daily_rank,,success,failed,6,16,28.833333333333332,32.6875,-3.854166666666668,-0.26867807224145557,,,,0.26867807224145557,1,negative_group_higher,`daily_rank` is higher in the negative group; treat as a candidate hypothesis.
success_vs_ordinary,Positive samples vs ordinary baseline.,numeric,graph_quality_score,,success,ordinary,6,134,87.33333333333333,62.32835820895522,25.004975124378106,1.0104973477155403,,,,1.0104973477155403,1,positive_group_higher,`graph_quality_score` is higher in the positive group; treat as a candidate hypothesis.
success_vs_ordinary,Positive samples vs ordinary baseline.,numeric,total_score,,success,ordinary,6,134,81.48333333333333,66.24962686567164,15.23370646766169,1.0053602050940764,,,,1.0053602050940764,1,positive_group_higher,`total_score` is higher in the positive group; treat as a candidate hypothesis.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,executed,False,success,ordinary,0,134,,,-1.0,,0.0,1.0,0.0,1.0,1,negative_group_overrepresented,`executed=False` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,executed,True,success,ordinary,6,0,,,1.0,,1.0,0.0,,1.0,1,positive_group_overrepresented,`executed=True` is overrepresented in the positive group.
success_vs_ordinary,Positive samples vs ordinary baseline.,numeric,days_since_d0,,success,ordinary,6,134,1.8333333333333333,1.0970149253731343,0.736318407960199,0.9303904710987431,,,,0.9303904710987431,1,positive_group_higher,`days_since_d0` is higher in the positive group; treat as a candidate hypothesis.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,signal_type,D2_LOW_ABSORB,success,ordinary,6,19,,,0.8582089552238806,,1.0,0.1417910447761194,7.052631578947369,0.8582089552238806,1,positive_group_overrepresented,`signal_type=D2_LOW_ABSORB` is overrepresented in the positive group. lift=7.05.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,position_level,normal,success,ordinary,6,19,,,0.8582089552238806,,1.0,0.1417910447761194,7.052631578947369,0.8582089552238806,1,positive_group_overrepresented,`position_level=normal` is overrepresented in the positive group. lift=7.05.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,eligible_for_trade,False,success,ordinary,0,115,,,-0.8582089552238806,,0.0,0.8582089552238806,0.0,0.8582089552238806,1,negative_group_overrepresented,`eligible_for_trade=False` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,eligible_for_trade,True,success,ordinary,6,19,,,0.8582089552238806,,1.0,0.1417910447761194,7.052631578947369,0.8582089552238806,1,positive_group_overrepresented,`eligible_for_trade=True` is overrepresented in the positive group. lift=7.05.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,selected_by_topn,False,success,ordinary,0,115,,,-0.8582089552238806,,0.0,0.8582089552238806,0.0,0.8582089552238806,1,negative_group_overrepresented,`selected_by_topn=False` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,selected_by_topn,True,success,ordinary,6,19,,,0.8582089552238806,,1.0,0.1417910447761194,7.052631578947369,0.8582089552238806,1,positive_group_overrepresented,`selected_by_topn=True` is overrepresented in the positive group. lift=7.05.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,selected_for_execution,False,success,ordinary,0,115,,,-0.8582089552238806,,0.0,0.8582089552238806,0.0,0.8582089552238806,1,negative_group_overrepresented,`selected_for_execution=False` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,selected_for_execution,True,success,ordinary,6,19,,,0.8582089552238806,,1.0,0.1417910447761194,7.052631578947369,0.8582089552238806,1,positive_group_overrepresented,`selected_for_execution=True` is overrepresented in the positive group. lift=7.05.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,signal_type,WATCH_ONLY,success,ordinary,0,104,,,-0.7761194029850746,,0.0,0.7761194029850746,0.0,0.7761194029850746,1,negative_group_overrepresented,`signal_type=WATCH_ONLY` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,position_level,zero,success,ordinary,0,104,,,-0.7761194029850746,,0.0,0.7761194029850746,0.0,0.7761194029850746,1,negative_group_overrepresented,`position_level=zero` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,allowed_bool,False,success,ordinary,0,104,,,-0.7761194029850746,,0.0,0.7761194029850746,0.0,0.7761194029850746,1,negative_group_overrepresented,`allowed_bool=False` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,allowed_bool,True,success,ordinary,6,30,,,0.7761194029850746,,1.0,0.22388059701492538,4.466666666666667,0.7761194029850746,1,positive_group_overrepresented,`allowed_bool=True` is overrepresented in the positive group. lift=4.47.
success_vs_ordinary,Positive samples vs ordinary baseline.,numeric,support_score,,success,ordinary,6,134,87.33333333333333,67.58208955223881,19.751243781094516,0.7216249431431767,,,,0.7216249431431767,1,positive_group_higher,`support_score` is higher in the positive group; treat as a candidate hypothesis.
success_vs_ordinary,Positive samples vs ordinary baseline.,numeric,theme_score,,success,ordinary,6,134,68.33333333333333,63.69402985074627,4.63930348258706,0.55725630825602,,,,0.55725630825602,1,positive_group_higher,`theme_score` is higher in the positive group; treat as a candidate hypothesis.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,support_type,A,success,ordinary,6,82,,,0.3880597014925373,,1.0,0.6119402985074627,1.6341463414634148,0.3880597014925373,1,positive_group_overrepresented,`support_type=A` is overrepresented in the positive group. lift=1.63.
