factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
invalid_distance_pct,executed_realized_d3,executed_only,3,13,3.9286,4.4295,4.167,-1.9037,-3.0904,-5.1988,2.3279,0.1538,0.0,0.5385,0.0769,-3.2903,2.4963
invalid_distance_pct,executed_realized_d3,executed_only,4,13,4.481,4.7877,4.5852,-2.8499,-2.0033,-6.1503,0.2023,0.0769,0.0,0.4615,0.0,-4.3549,2.0837
invalid_distance_pct,executed_realized_d3,executed_only,5,13,4.8058,6.3741,5.1804,-2.4688,-2.4041,-5.1003,1.0558,0.0769,0.0,0.3846,0.0769,-3.8183,2.1478
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,1,108,0.0,2.6316,1.6097,6.1906,5.2971,1.1958,9.9402,0.4167,0.2037,0.0093,0.4167,-0.2229,6.1906
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,2,107,2.6357,3.4335,3.0635,3.7789,2.4526,0.648,6.2289,0.215,0.0748,0.0,0.215,-2.6741,3.7789
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,3,108,3.439,4.2048,3.8602,5.3815,4.0051,1.1988,8.1936,0.3796,0.1667,0.0,0.3796,-1.114,5.3815
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,4,107,4.2107,4.765,4.4853,4.2932,2.6521,0.9164,7.7469,0.271,0.1495,0.0187,0.271,-2.0384,4.2932
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,5,108,4.7656,6.3741,5.1478,3.8946,2.9362,0.6567,6.191,0.1852,0.0556,0.0,0.1852,-3.1528,3.8946
low_absorb_width_pct,all_primary_d3_close,all_candidates,1,108,0.0,2.6316,1.6097,-0.2229,-1.2456,-7.0547,5.5036,0.2222,0.1296,0.4167,0.4167,-0.2229,6.1906
low_absorb_width_pct,all_primary_d3_close,all_candidates,2,107,2.6357,3.4335,3.0635,-2.6741,-3.8424,-6.3778,0.9971,0.0748,0.0374,0.5607,0.215,-2.6741,3.7789
